fuelType,rating,renterTripsTaken,reviewCount,location.city,location.latitude,location.longitude,location.state,owner.id,rate.daily,vehicle.make,vehicle.model,vehicle.type,vehicle.year
2,4.96,152,140,29,33.927684,-84.343055,10,511103,155,8,100,0,2014
2,4.97,37,35,29,33.763413,-84.388602,10,7982582,130,3,18,0,2015
2,4.99,81,73,153,33.640695,-84.44519,10,6025007,58,37,32,0,2018
2,4.96,60,51,29,33.640655,-84.427646,10,6025007,112,3,17,0,2017
2,5.0,23,21,29,33.740676,-84.358236,10,8752492,209,3,339,0,2014
2,5.0,41,36,424,33.989753,-84.001209,10,7952644,49,10,191,1,2015
2,5.0,29,27,29,33.74053,-84.357869,10,8752492,129,21,463,0,2016
1,4.88,18,16,208,33.970512,-84.161462,10,8609349,159,48,287,0,2018
2,4.95,42,40,201,33.722786,-84.703698,10,3983888,84,33,46,0,2015
2,5.0,42,38,29,33.927109,-84.343284,10,511103,175,8,99,0,2017
2,4.83,9,6,29,33.757344,-84.348425,10,499566,189,33,363,0,2016
2,4.92,40,38,29,33.640694,-84.444701,10,5878338,130,8,65,0,2017
2,4.88,88,74,29,33.757548,-84.349273,10,499566,150,25,353,2,2014
2,5.0,1,1,29,33.850713,-84.36596,10,10872556,125,30,330,0,2016
2,4.84,38,32,201,33.7233,-84.703291,10,3983888,76,19,323,0,2018
2,4.92,76,71,29,33.668327,-84.417836,10,10413163,147,8,99,0,2015
2,5.0,5,5,737,33.807278,-84.045917,10,11258220,160,40,45,0,2014
1,4.85,35,27,187,33.709589,-84.266785,10,1661563,175,48,286,0,2019
0,4.97,32,29,222,33.653333,-84.492314,10,7868475,89,40,71,2,2014
2,4.98,72,59,29,33.927666,-84.34306,10,511103,116,13,291,0,2019
2,5.0,17,11,29,33.782872,-84.384256,10,8752492,136,25,353,2,2016
2,4.82,56,50,201,33.723699,-84.702829,10,3983888,56,20,116,2,2008
2,4.93,22,15,222,33.653788,-84.491291,10,7697843,64,19,323,0,2018
2,4.95,69,66,222,33.653412,-84.492217,10,7868475,90,33,111,0,2016
2,4.9,61,50,222,33.652998,-84.490885,10,7697843,55,31,61,2,2018
2,4.84,71,58,222,33.652323,-84.491513,10,7697843,29,52,484,0,2015
2,5.0,17,16,187,33.75397,-84.234782,10,15117491,78,4,482,0,2008
2,4.89,9,9,29,33.926688,-84.343004,10,511103,102,8,65,0,2018
2,4.93,19,15,29,33.810233,-84.45316,10,2052844,85,25,352,2,2015
2,5.0,2,2,29,33.852298,-84.367605,10,5513653,98,4,456,2,2018
2,5.0,45,40,222,33.653553,-84.492182,10,7868475,90,20,329,2,2015
1,5.0,21,19,29,33.765511,-84.387509,10,3991249,150,48,286,0,2020
2,4.98,54,44,29,33.875355,-84.461555,10,499566,149,4,282,0,2013
2,5.0,70,62,29,33.764041,-84.334534,10,1077705,195,4,242,0,2015
2,5.0,13,13,12,34.110042,-84.228422,10,10851739,130,33,46,0,2016
1,5.0,51,44,222,33.702353,-84.443573,10,1439133,209,48,288,2,2018
2,4.94,61,51,606,33.938981,-84.239727,10,6077494,123,30,184,0,2015
2,5.0,5,4,29,33.64054,-84.426852,10,7678058,250,30,184,0,2015
2,5.0,2,2,29,33.889415,-84.453633,10,12796797,120,8,65,0,2019
2,5.0,39,31,29,33.879187,-84.456395,10,6580855,65,33,46,0,2016
2,5.0,14,14,736,33.878293,-84.48794,10,9971230,180,4,242,0,2016
1,4.94,18,18,29,33.833257,-84.483681,10,4266637,156,48,286,0,2018
2,5.0,13,13,29,33.784923,-84.381204,10,11968412,64,4,274,0,2011
1,4.89,56,47,29,33.900611,-84.326224,10,4887223,245,48,288,2,2016
2,4.93,72,61,256,33.586691,-84.591842,10,1428350,299,4,485,0,2015
2,5.0,2,2,316,33.905743,-83.959959,10,1295660,98,33,111,0,2017
2,5.0,12,11,29,33.81319,-84.393162,10,9451897,140,25,353,2,2018
2,5.0,25,22,143,33.799778,-84.253865,10,1879749,205,8,99,0,2016
2,4.92,37,36,29,33.647454,-84.453073,10,8444510,32,13,150,0,2017
2,5.0,35,35,29,33.810451,-84.452199,10,1103338,300,33,20,0,2016
2,4.94,19,18,29,33.875559,-84.462533,10,499566,99,50,34,0,2019
2,4.97,41,34,29,33.878716,-84.456566,10,6580855,35,13,150,0,2015
2,5.0,41,39,29,33.668602,-84.418653,10,10413163,135,30,184,0,2015
2,4.89,11,9,29,33.890901,-84.453496,10,12796797,150,4,471,2,2018
2,4.9,14,10,736,33.849506,-84.520721,10,11312622,90,33,369,0,2013
0,4.86,7,7,29,33.659791,-84.432933,10,15406472,150,25,354,2,2019
2,4.91,53,45,29,33.776537,-84.359708,10,464263,385,5,85,0,2005
2,5.0,5,5,29,33.749752,-84.400123,10,1846481,250,40,308,0,2018
1,5.0,6,5,29,33.884486,-84.463509,10,2312511,150,48,288,2,2016
3,5.0,12,11,737,33.809233,-84.047014,10,11258220,202,40,71,2,2017
1,5.0,2,2,12,34.067805,-84.213456,10,11216559,151,48,286,0,2019
2,4.82,71,61,29,33.927373,-84.342797,10,511103,110,40,71,2,2011
2,5.0,6,5,393,34.019483,-84.565131,10,15256714,300,21,145,0,2016
2,4.73,27,26,29,33.648408,-84.45384,10,8444510,32,13,150,0,2017
2,4.96,59,54,29,33.927706,-84.342776,10,511103,95,8,65,0,2016
2,5.0,5,4,737,33.807028,-84.045642,10,11258220,150,3,414,0,2017
2,5.0,3,1,393,33.990955,-84.628724,10,1140700,60,4,456,2,2017
2,4.85,51,48,29,33.927656,-84.343058,10,511103,129,10,74,0,2017
1,5.0,23,21,29,33.713244,-84.502636,10,9326905,147,48,286,0,2019
2,4.85,28,26,29,33.68153,-84.407289,10,3792936,122,8,407,2,2011
2,4.74,28,23,29,33.63415,-84.454896,10,10250575,49,49,95,0,2020
2,5.0,26,21,605,33.402177,-84.563264,10,12096465,139,40,45,0,2015
1,4.77,17,13,208,33.992062,-84.154258,10,6514411,149,48,286,0,2019
2,4.51,51,39,29,33.772126,-84.419021,10,7221030,37,36,284,0,2014
2,5.0,15,9,472,33.914354,-84.48546,10,1919268,180,8,99,0,2017
2,4.88,47,42,29,33.66857,-84.417392,10,6482788,165,40,308,0,2016
2,5.0,2,1,29,33.910368,-84.483288,10,11454718,211,25,351,2,2016
2,4.87,56,47,29,33.811362,-84.452952,10,2052844,120,4,3,0,2014
2,4.92,45,40,29,33.783971,-84.383664,10,8752492,99,26,209,0,2016
2,5.0,3,2,29,33.682324,-84.409111,10,3792936,127,8,407,2,2012
2,4.86,30,28,29,33.647684,-84.453383,10,8444510,32,37,445,0,2017
2,5.0,14,11,866,34.070795,-84.528949,10,14354281,200,30,184,0,2017
2,5.0,27,24,458,33.80541,-84.526445,10,217743,386,21,145,0,2014
2,5.0,6,6,85,33.735152,-85.143922,10,15581324,94,4,3,0,2015
2,5.0,58,55,29,33.927733,-84.342829,10,511103,89,10,73,0,2019
2,4.92,33,25,29,33.667803,-84.418423,10,10413163,137,3,17,0,2017
2,5.0,15,14,543,33.394151,-84.732845,10,13728129,97,13,291,0,2014
2,5.0,5,3,440,33.723632,-84.092345,10,15031450,160,30,184,0,2017
0,5.0,15,15,201,33.72414,-84.732501,10,14841812,108,3,319,2,2015
2,5.0,10,10,161,33.57398,-83.997441,10,15152803,128,13,291,0,2018
1,5.0,11,8,29,33.992527,-84.341541,10,310752,167,48,287,0,2015
2,4.89,69,65,187,33.723657,-84.168811,10,7363993,42,18,28,0,2017
2,4.98,128,117,29,33.92741,-84.342783,10,511103,85,10,73,0,2018
2,5.0,9,8,29,33.66851,-84.418445,10,6482788,130,30,184,0,2015
1,4.89,76,70,605,33.370201,-84.530407,10,1416567,115,48,287,0,2013
2,5.0,15,11,29,33.850201,-84.366107,10,10872556,48,37,32,0,2018
2,5.0,6,5,866,34.070353,-84.529444,10,14354281,200,33,363,0,2014
2,4.74,91,76,29,33.822774,-84.37176,10,10216804,48,50,221,0,2011
2,5.0,2,1,187,33.753546,-84.234219,10,15117491,64,50,299,0,2008
2,4.75,17,16,29,33.787378,-84.387736,10,6830247,172,40,71,2,2017
2,5.0,5,5,29,33.683468,-84.538252,10,3665954,150,8,390,3,2017
1,4.83,25,18,208,34.037805,-84.171103,10,8655954,149,48,286,0,2020
2,4.77,14,13,871,33.659394,-84.476251,10,4782598,44,23,302,0,2016
2,4.9,64,51,29,33.668674,-84.417697,10,6482788,120,40,255,2,2017
2,5.0,26,22,256,33.580143,-84.643162,10,12029322,38,23,398,2,2014
2,5.0,4,3,771,33.792982,-84.194177,10,5253132,82,22,452,2,2017
2,5.0,17,14,550,33.970895,-84.199674,10,5586320,149,40,45,0,2015
2,5.0,13,11,736,33.88,-84.511796,10,1740878,80,26,208,0,2020
2,4.63,271,195,29,33.648355,-84.454283,10,507900,39,37,446,0,2015
2,4.86,73,63,29,33.668797,-84.419681,10,6482788,120,33,53,0,2016
2,5.0,7,6,439,33.784387,-84.636909,10,9218210,35,23,399,0,2014
2,4.78,62,49,29,33.582899,-84.471096,10,1426383,35,50,309,0,2015
2,4.81,139,98,29,33.646342,-84.453593,10,507900,51,37,32,0,2016
2,4.96,26,23,29,33.878617,-84.456585,10,6580855,40,18,121,0,2019
2,5.0,56,51,29,33.927371,-84.342878,10,511103,89,22,192,2,2019
2,5.0,15,13,736,33.849251,-84.519273,10,11312622,72,29,90,0,2015
2,5.0,5,4,210,33.928988,-84.342407,10,511103,89,22,192,2,2017
2,4.84,54,49,29,33.822646,-84.371718,10,10216804,40,50,309,0,2012
3,5.0,6,2,29,33.937641,-84.37613,10,12800611,600,4,485,0,2016
0,4.89,26,19,704,33.934747,-84.365228,10,1251177,199,25,354,2,2018
1,5.0,7,3,458,33.806156,-84.52637,10,217743,265,48,286,0,2020
1,5.0,36,34,210,33.922219,-84.304205,10,8691695,200,48,286,0,2020
1,4.79,99,78,29,33.667415,-84.419198,10,6482788,120,48,287,0,2013
3,4.83,23,18,222,33.658852,-84.477021,10,4782598,39,49,314,0,2010
2,4.94,39,36,29,33.667718,-84.419644,10,10413163,85,33,111,0,2016
2,4.79,45,38,29,33.582376,-84.470943,10,1426383,57,4,468,2,2009
2,5.0,10,9,29,33.696169,-84.520114,10,1891792,57,22,83,2,2018
2,5.0,4,4,201,33.768065,-84.74567,10,5133548,226,38,394,0,2017
2,4.86,27,22,187,33.721839,-84.169642,10,7363993,44,8,103,0,2017
2,4.97,41,35,29,33.668353,-84.418542,10,10413163,112,22,454,2,2019
2,4.67,3,3,704,33.917415,-84.359627,10,15346119,148,8,65,0,2015
2,5.0,21,19,29,33.786892,-84.381403,10,5801653,153,33,111,0,2014
2,4.8,5,5,773,34.122754,-84.03311,10,6939498,74,9,269,0,2018
2,4.69,14,13,704,33.934135,-84.364693,10,1251177,269,30,238,2,2020
2,4.86,91,69,29,33.813481,-84.365042,10,7725344,129,33,111,0,2012
2,4.95,21,19,29,33.740154,-84.358581,10,10167863,84,22,452,2,2017
2,5.0,9,8,472,33.885875,-84.56284,10,14953193,58,18,182,0,2014
2,4.9,159,146,29,33.58197,-84.471549,10,1426383,33,37,382,0,2017
2,4.86,82,70,187,33.709443,-84.266606,10,1661563,50,49,66,0,2017
2,4.67,84,70,29,33.582189,-84.471143,10,1426383,47,4,266,0,2011
2,4.89,10,9,472,33.935586,-84.470631,10,15185267,50,49,333,2,2017
2,5.0,71,63,782,34.050037,-84.089022,10,312450,99,31,253,0,2016
2,5.0,2,2,161,33.661941,-84.088375,10,15693009,71,10,191,1,2016
2,4.86,75,66,187,33.708738,-84.267147,10,1661563,56,49,66,0,2018
2,5.0,3,3,440,33.722747,-84.168365,10,7363993,45,8,103,0,2017
3,4.81,106,88,187,33.709128,-84.266907,10,1661563,64,26,198,0,2010
2,4.72,67,64,29,33.773652,-84.420303,10,7221030,70,3,16,0,2012
2,4.92,159,139,273,33.606816,-84.36688,10,1727097,52,23,302,0,2013
2,5.0,12,9,187,33.709186,-84.265834,10,1661563,60,49,387,1,2012
2,5.0,3,3,29,33.605798,-84.501351,10,15622497,48,22,312,2,2015
2,5.0,11,6,187,33.793057,-84.290081,10,14910142,132,33,52,0,2018
2,4.9,66,49,187,33.707521,-84.267661,10,1661563,54,49,66,0,2018
2,4.88,59,52,550,33.932806,-84.139116,10,3698495,63,13,132,2,2017
2,4.83,44,36,187,33.708748,-84.267983,10,1661563,54,49,66,0,2017
2,5.0,10,10,704,33.984904,-84.342695,10,14634339,176,8,407,2,2019
2,4.97,41,37,478,33.466806,-84.216997,10,10244672,90,26,210,0,2015
2,4.87,66,54,550,33.932088,-84.14028,10,3698495,62,13,154,0,2018
1,5.0,4,2,478,33.504183,-84.169019,10,7934891,800,48,288,2,2019
2,5.0,10,8,29,33.753282,-84.466572,10,1886829,299,25,351,2,2020
2,4.8,5,5,208,34.033443,-84.181063,10,886557,216,3,18,0,2015
2,4.91,36,34,29,33.811329,-84.375881,10,3659271,99,4,4,0,2016
2,4.86,73,64,168,33.594282,-83.968334,10,1238898,50,37,32,0,2015
2,5.0,27,23,473,33.91835,-84.553948,10,735348,125,13,142,3,2019
2,4.73,56,51,187,33.708559,-84.267069,10,1661563,45,49,479,0,2017
2,4.7,100,81,29,33.772969,-84.419985,10,7221030,50,6,233,0,2016
2,5.0,18,14,737,33.855996,-84.032137,10,308839,53,0,411,0,2011
2,4.85,34,33,478,33.467875,-84.216673,10,10244672,90,26,210,0,2015
2,4.73,52,37,29,33.772143,-84.418645,10,7221030,58,50,421,2,2011
2,4.88,52,40,187,33.707789,-84.26747,10,1661563,43,49,66,0,2008
2,4.88,19,17,738,33.85478,-84.031592,10,308839,52,0,411,0,2011
3,4.86,66,56,35,30.286223,-97.706597,40,4353395,37,49,317,0,2012
2,4.98,60,47,35,30.284071,-97.706141,40,988215,38,50,221,0,2017
2,4.97,39,35,35,30.307308,-97.709255,40,10089647,35,23,399,0,2018
2,4.81,51,43,35,30.306372,-97.70851,40,8421016,37,18,121,0,2015
3,4.99,107,90,35,30.306573,-97.709083,40,4353395,35,49,314,0,2010
3,4.91,89,75,35,30.305641,-97.708108,40,4353395,35,49,314,0,2010
3,4.86,109,91,35,30.30624,-97.707401,40,4353395,35,26,198,0,2011
2,5.0,4,3,35,30.184719,-97.802598,40,7095382,24,23,358,0,2009
3,4.9,61,49,35,30.305719,-97.708528,40,4353395,31,49,314,0,2010
2,4.63,54,48,190,30.217927,-97.66203,40,11279587,32,17,29,0,2011
3,4.95,120,100,35,30.285239,-97.706193,40,4353395,41,26,55,0,2012
2,4.95,20,20,190,30.219193,-97.662154,40,11279587,58,4,274,0,2016
2,5.0,14,11,35,30.306388,-97.709561,40,914019,42,4,266,0,2011
2,4.92,59,49,35,30.307395,-97.707145,40,914019,43,33,46,0,2009
2,4.92,30,24,35,30.286173,-97.706689,40,5343023,34,11,275,0,2013
2,4.8,25,20,35,30.307723,-97.708747,40,8421016,49,4,266,0,2016
2,4.98,58,50,35,30.217598,-97.686914,40,8793776,59,33,52,0,2015
2,5.0,30,25,35,30.306435,-97.706873,40,914019,43,4,455,2,2013
2,5.0,44,39,35,30.306629,-97.709578,40,914019,43,4,266,0,2009
2,4.95,22,22,35,30.248615,-97.733612,40,14602921,58,33,52,0,2017
2,5.0,3,3,35,30.285107,-97.705221,40,10089647,37,18,122,0,2017
2,4.92,29,26,35,30.285073,-97.705661,40,8421016,35,18,396,0,2019
3,3.86,10,7,190,30.218076,-97.662069,40,11279587,31,49,316,0,2012
2,4.95,49,39,466,30.36918,-97.620406,40,9046223,99,1,186,0,2019
2,5.0,27,23,35,30.300782,-97.712261,40,9463179,89,14,388,3,2016
2,5.0,5,4,466,30.342937,-97.526437,40,13858730,60,8,65,0,2018
1,5.0,21,18,121,30.471685,-97.825615,40,1351290,175,48,288,2,2017
2,5.0,23,20,35,30.307486,-97.70936,40,914019,32,49,478,0,2008
2,5.0,10,10,35,30.175005,-97.785674,40,7376797,107,4,274,0,2018
2,5.0,26,21,35,30.189194,-97.888778,40,10147412,105,40,45,0,2014
2,4.87,58,46,466,30.369252,-97.620195,40,9046223,80,33,52,0,2018
2,4.91,108,96,35,30.27461,-97.751945,40,8755908,69,34,168,2,2019
2,4.89,25,18,35,30.286542,-97.706306,40,988215,39,8,433,2,2018
2,5.0,22,17,35,30.440669,-97.700369,40,4471592,91,8,99,0,2007
2,5.0,22,20,35,30.174308,-97.852839,40,7649574,55,4,3,0,2018
2,5.0,2,2,35,30.239613,-97.720512,40,2130021,70,33,46,0,2016
2,5.0,7,6,673,30.554584,-97.762388,40,5880880,56,25,352,2,2015
2,4.85,42,39,35,30.228099,-97.721796,40,6510847,31,37,382,0,2017
2,5.0,11,7,35,30.273903,-97.723299,40,5793069,126,13,291,0,2016
2,4.93,64,56,466,30.369321,-97.620106,40,9046223,80,33,52,0,2017
1,4.96,29,28,426,30.56407,-97.81567,40,10817313,121,48,286,0,2020
1,5.0,1,1,673,30.509571,-97.651045,40,11986021,70,48,286,0,2020
2,5.0,21,18,35,30.316023,-97.712861,40,9113625,35,13,291,0,2014
2,5.0,1,1,35,30.286347,-97.720374,40,15054209,135,33,367,0,2017
2,5.0,15,14,35,30.420479,-97.739445,40,7107554,75,3,371,0,2015
1,4.83,14,12,414,30.368803,-97.999417,40,3037579,199,48,287,0,2018
3,4.79,52,43,35,30.172393,-97.695236,40,2693957,31,49,314,0,2008
2,5.0,1,1,35,30.170285,-97.854177,40,1849874,59,50,37,2,2020
2,4.95,104,88,35,30.249632,-97.855855,40,4022601,129,8,99,0,2019
2,5.0,17,17,426,30.563432,-97.81463,40,10817313,96,38,394,0,2019
2,5.0,30,30,673,30.567746,-97.609215,40,4738959,87,10,73,0,2015
2,5.0,6,5,673,30.522564,-97.655139,40,268973,60,13,291,0,2018
2,5.0,43,30,35,30.250087,-97.856532,40,4022601,199,10,73,0,2019
2,5.0,1,1,35,30.306554,-97.742256,40,11222799,95,34,168,2,2019
2,4.87,18,15,35,30.246976,-97.775147,40,305300,60,49,9,2,2016
1,4.85,16,13,673,30.519566,-97.741162,40,1351290,99,48,286,0,2018
2,4.75,14,12,35,30.169569,-97.959966,40,4742782,99,40,71,2,2014
2,5.0,3,3,673,30.559641,-97.677341,40,10240102,85,4,274,0,2014
2,4.99,80,67,35,30.282214,-97.743103,40,526216,79,33,111,0,2017
2,5.0,57,53,35,30.281295,-97.742729,40,526216,149,8,99,0,2019
1,5.0,15,14,121,30.471511,-97.825598,40,1351290,84,48,286,0,2019
3,5.0,28,26,35,30.252144,-97.765354,40,1432343,169,25,353,2,2020
2,5.0,2,2,35,30.380052,-97.879069,40,14821685,65,3,414,0,2010
3,4.82,83,61,190,30.217841,-97.662414,40,226203,29,49,314,0,2009
2,4.66,43,32,190,30.217694,-97.662136,40,226203,29,26,115,0,2009
2,4.97,37,34,35,30.281102,-97.742697,40,526216,79,49,383,2,2018
2,4.7,114,82,190,30.217723,-97.662243,40,226203,29,49,66,0,2010
2,4.98,55,49,121,30.532589,-97.856023,40,2205924,42,49,66,0,2017
2,5.0,5,5,35,30.285892,-97.7201,40,15054209,89,4,471,2,2016
2,5.0,3,3,35,30.409239,-97.700399,40,15215074,230,30,184,0,2019
2,4.93,15,14,121,30.472551,-97.826223,40,1351290,72,27,297,2,2016
2,5.0,61,50,35,30.172033,-97.695765,40,2693957,39,8,128,2,2019
2,4.8,46,40,121,30.531484,-97.856971,40,2205924,46,17,31,0,2019
1,5.0,3,3,35,30.181456,-97.771797,40,2401031,100,48,286,0,2018
2,5.0,1,1,45,30.086958,-97.307824,40,8907527,62,17,357,3,2014
2,4.95,111,91,35,30.186546,-97.744319,40,3595768,60,13,142,3,2014
2,4.97,36,34,121,30.532488,-97.857745,40,2205924,60,49,201,2,2019
2,5.0,5,5,673,30.508102,-97.597166,40,3796227,120,33,363,0,2013
1,4.97,38,37,35,30.195245,-97.811651,40,4722830,99,48,286,0,2020
1,5.0,10,6,673,30.491107,-97.633688,40,1698554,475,48,288,2,2018
2,5.0,10,8,35,30.347655,-97.857329,40,11555570,64,4,468,2,2012
3,4.48,55,31,190,30.216981,-97.662619,40,226203,29,49,314,0,2009
0,4.95,54,44,35,30.169396,-97.958952,40,4742782,79,33,166,2,2012
2,4.93,36,27,35,30.229183,-97.721469,40,6510847,29,11,275,0,2012
2,4.93,19,15,35,30.16941,-97.958171,40,4742782,99,33,283,1,2018
2,5.0,10,8,35,30.253362,-97.765146,40,1432343,110,22,454,2,2020
2,5.0,2,2,35,30.465201,-97.793332,40,13619893,90,3,24,0,2018
2,5.0,28,22,35,30.17203,-97.695454,40,2693957,55,10,73,0,2015
2,5.0,30,27,35,30.260292,-97.901671,40,1735989,65,22,452,2,2013
2,4.84,30,25,35,30.202509,-97.807404,40,8642074,45,18,182,0,2013
2,5.0,9,7,96,30.087434,-97.863212,40,14324204,43,26,175,0,2013
2,5.0,36,27,35,30.307788,-97.72113,40,1323619,75,13,132,2,2015
2,5.0,6,4,433,30.699419,-97.863688,40,6123565,31,36,117,2,2019
2,5.0,17,17,426,30.563945,-97.814958,40,10817313,49,22,452,2,2020
2,5.0,20,15,35,30.24966,-97.85785,40,4022601,175,34,46,0,2019
2,4.5,10,10,35,30.210734,-97.667709,40,9859133,65,37,360,2,2019
2,5.0,14,14,813,31.536349,-97.204985,40,10135745,150,8,407,2,2017
2,5.0,22,15,121,30.491969,-97.846945,40,5128958,58,8,407,2,2012
2,5.0,11,8,35,30.202829,-97.771173,40,13078780,55,20,329,2,2020
2,5.0,4,3,121,30.471503,-97.825836,40,1351290,65,17,313,2,2019
2,5.0,16,14,35,30.13717,-97.794814,40,10373750,85,14,480,2,2012
2,4.98,45,41,35,30.418945,-97.739133,40,7107554,39,3,16,0,2016
2,5.0,1,1,121,30.472093,-97.826111,40,1351290,65,17,301,1,2020
2,5.0,11,10,206,30.241177,-98.046087,40,856042,99,22,452,2,2018
2,5.0,43,30,35,30.287585,-97.767067,40,1031296,45,18,377,2,2013
2,4.98,52,49,35,30.24954,-97.856581,40,4022601,113,49,408,0,2020
2,5.0,16,15,35,30.398521,-97.723894,40,11067767,90,7,57,0,2011
2,5.0,9,8,35,30.200222,-97.742816,40,3143655,99,49,415,3,2018
2,5.0,17,15,35,30.402777,-97.660493,40,10323824,65,14,27,2,2015
2,5.0,35,30,35,30.281849,-97.742374,40,526216,69,49,201,2,2019
2,5.0,24,19,35,30.281003,-97.743406,40,526216,69,49,201,2,2019
2,5.0,17,13,35,30.195673,-97.813254,40,4722830,84,22,452,2,2017
2,5.0,6,5,35,30.179984,-97.840637,40,10253567,85,22,452,2,2015
2,5.0,3,3,616,30.472611,-97.558001,40,4879293,89,3,22,0,2018
2,4.75,12,12,35,30.178161,-97.695345,40,2885282,88,22,452,2,2016
2,5.0,4,3,35,30.204229,-97.806249,40,14436588,90,8,416,2,2011
2,5.0,1,1,35,30.417177,-97.711455,40,11179653,65,26,295,2,2015
2,5.0,2,2,35,30.190479,-97.792669,40,2474094,150,4,274,0,2012
2,4.88,27,24,35,30.246411,-97.751444,40,11676918,34,46,217,0,2012
2,5.0,26,22,35,30.282543,-97.742769,40,526216,49,49,66,0,2020
2,4.92,14,13,35,30.28122,-97.741169,40,526216,44,49,66,0,2017
2,5.0,15,9,35,30.249553,-97.856495,40,4022601,65,20,329,2,2020
2,4.8,7,5,35,30.249388,-97.856408,40,4022601,42,17,31,0,2019
2,4.6,10,10,35,30.202869,-97.77119,40,13078780,42,49,66,0,2020
2,4.98,99,85,35,30.200141,-97.74275,40,3143655,44,17,78,0,2019
3,5.0,31,26,35,30.150364,-97.719832,40,13184353,62,26,55,0,2015
2,5.0,28,22,121,30.523382,-97.863155,40,5128958,32,49,66,0,2015
2,5.0,28,24,414,30.369053,-97.998365,40,3037579,45,29,89,0,2018
3,5.0,38,28,35,30.245169,-97.752532,40,11676918,36,49,314,0,2013
2,4.97,44,37,35,30.246203,-97.751169,40,11676918,31,46,217,0,2009
