fuelType,rating,renterTripsTaken,reviewCount,locationcity,locationlatitude,locationlongitude,locationstate,ownerid,vehiclemake,vehiclemodel,vehicletype,vehicleyear
2,4.88,42,34,750,42.473667,-83.239688,22,1370302,9,450,1,2020
0,4.6,6,5,690,29.412377,-98.724665,40,12125275,33,166,2,2010
2,4.94,57,51,689,40.773227,-111.894035,41,10816234,33,170,2,2010
1,5.0,9,7,719,33.526606,-111.8927,3,2072836,48,287,0,2016
2,5.0,7,7,357,29.740061,-95.58766,40,8465704,23,157,0,2019
1,5.0,43,41,92,39.973876,-75.342142,36,9936051,48,286,0,2019
2,5.0,8,8,604,29.68643,-95.170914,40,7994776,9,269,0,2014
2,4.79,67,61,136,42.006017,-87.690604,14,640475,33,46,0,2016
1,4.85,35,27,187,33.709589,-84.266785,10,1661563,48,286,0,2019
2,4.9,47,41,418,40.156065,-74.924124,36,9352785,17,29,0,2018
2,4.95,395,285,637,45.516443,-122.627886,35,320877,45,490,0,2006
2,5.0,1,1,31,47.330985,-122.220881,43,11010206,33,164,2,2009
2,4.83,9,6,319,36.122292,-79.887575,27,12961617,49,95,0,2015
2,4.33,3,3,422,36.157411,-115.333377,32,5043236,3,332,0,2009
2,4.72,171,114,488,29.974731,-90.160474,18,198464,22,75,2,2015
1,4.94,19,18,489,25.795767,-80.187651,9,909477,48,287,0,2017
2,5.0,6,4,509,34.141402,-117.986019,4,15328200,49,415,3,2020
2,4.56,16,16,140,32.606498,-117.064111,4,7144554,4,266,0,2014
1,4.95,86,66,189,26.319138,-80.150728,9,1150655,48,288,2,2017
2,4.96,26,23,202,40.290226,-75.099055,36,72053,27,297,2,2013
0,5.0,17,15,214,40.360288,-111.948022,41,873042,41,2,3,2015
2,5.0,20,17,542,47.544934,-122.162898,43,10537511,1,405,2,2020
2,4.97,40,35,689,40.767787,-111.958009,41,3047996,10,73,0,2018
2,4.92,60,52,37,39.787635,-86.371089,15,847810,18,396,0,2018
2,4.95,23,21,452,33.946251,-118.372216,4,1300139,50,43,0,2013
3,4.73,60,56,94,43.163533,-87.969172,44,4942084,26,55,0,2012
3,4.85,33,26,783,27.983523,-82.547967,9,7493945,49,314,0,2007
2,4.67,8,6,718,21.489437,-158.056903,11,9547029,13,138,2,2013
2,5.0,21,17,26,39.848439,-105.07211,5,2165613,4,482,0,2013
1,5.0,13,13,49,45.469434,-122.831796,35,4552654,48,286,0,2019
2,4.96,30,26,126,33.245561,-111.793067,3,8030281,14,480,2,2015
2,5.0,2,1,21,35.714105,-78.8625,27,8907679,4,266,0,2014
2,5.0,4,4,400,35.90608,-83.927179,39,11631732,22,452,2,2015
2,5.0,12,12,464,28.628826,-81.349252,9,13601046,3,21,0,2016
2,4.94,37,34,422,36.294373,-115.284889,32,4305065,4,3,0,2016
2,5.0,31,27,586,28.497817,-81.322844,9,9482137,37,360,2,2018
2,5.0,32,22,489,25.798805,-80.260427,9,14322809,33,52,0,2018
2,5.0,2,1,858,28.474533,-81.621536,9,3875892,4,482,0,2019
2,5.0,44,38,698,37.369661,-121.921184,4,8709542,26,345,2,2010
1,4.96,29,28,426,30.56407,-97.81567,40,10817313,48,286,0,2020
2,5.0,8,8,17,61.176572,-149.99068,0,3995206,22,312,2,2015
2,4.08,17,13,447,39.553565,-104.884616,5,558427,3,24,0,2010
2,5.0,2,2,617,39.979599,-75.117008,36,2434071,50,177,0,2011
2,5.0,9,8,357,29.774725,-95.690638,40,8465704,49,66,0,2018
2,5.0,8,6,253,40.928092,-74.115924,30,1319433,3,332,0,2017
2,5.0,10,8,283,32.866469,-97.426709,40,256806,11,275,0,2015
2,5.0,6,5,486,43.574509,-116.391174,13,1000741,4,274,0,2011
2,5.0,21,18,586,28.447067,-81.241204,9,9448952,7,475,0,2018
0,5.0,5,5,131,35.059338,-80.850846,27,3037725,3,17,0,2016
2,5.0,3,3,757,35.738392,-86.893133,39,15303357,31,265,0,2019
2,5.0,6,5,176,32.814518,-96.816507,40,5855067,30,238,2,2018
2,4.72,24,18,694,32.788786,-117.105767,4,10999899,49,435,3,2010
1,4.89,12,9,422,36.257383,-115.239692,32,1346527,48,286,0,2020
1,4.33,8,6,586,28.546694,-81.170874,9,11082850,48,286,0,2019
2,4.57,8,7,337,36.077377,-115.080343,32,10942396,30,184,0,2016
2,5.0,14,9,694,32.808147,-117.127747,4,14597674,8,407,2,2019
2,4.98,54,51,162,32.965781,-96.972723,40,2682307,8,99,0,1961
2,5.0,86,78,637,45.532275,-122.562859,35,3939290,49,201,2,2017
2,5.0,10,9,29,33.696169,-84.520114,10,1891792,22,83,2,2018
2,4.73,12,11,618,33.448874,-111.988195,3,5937224,17,301,1,2011
2,5.0,10,8,35,30.253362,-97.765146,40,1432343,22,454,2,2020
2,4.9,61,50,222,33.652998,-84.490885,10,7697843,31,61,2,2018
1,4.96,54,49,191,39.713542,-104.928169,5,8689016,48,288,2,2019
2,5.0,1,1,228,41.323301,-111.839786,41,939129,13,142,3,2016
2,4.62,14,13,368,33.952944,-118.374973,4,3783983,4,266,0,2011
2,4.92,44,39,748,37.64076,-122.403989,4,1122675,40,255,2,2015
2,5.0,4,3,719,33.614712,-111.924409,3,286451,12,147,0,2006
1,5.0,11,10,443,39.561412,-104.961203,5,10558004,48,286,0,2019
2,5.0,25,23,131,35.221968,-80.815621,27,21255,23,399,2,2019
2,5.0,19,16,783,28.005439,-82.559131,9,11592515,13,291,0,2017
2,4.97,93,80,580,41.287158,-96.15826,28,1135852,49,478,0,2007
2,5.0,17,15,265,30.639914,-81.453123,9,11135847,22,452,2,2017
2,4.99,98,92,378,40.723069,-74.050722,30,67096,37,360,2,2017
2,4.5,4,4,534,41.681576,-72.772868,6,897554,50,50,0,2013
2,4.63,9,8,452,33.944909,-118.37117,4,1300139,22,83,2,2016
2,5.0,70,59,637,45.510214,-122.651241,35,1359691,49,387,1,2016
2,5.0,16,13,637,45.51065,-122.782921,35,1096035,17,301,1,2018
2,5.0,6,6,799,32.248906,-110.843308,3,9120760,13,142,3,2012
2,5.0,3,2,461,43.128399,-89.349523,44,1404003,10,110,2,2015
2,4.82,26,22,735,39.431216,-94.564823,24,10174639,33,46,0,2016
1,5.0,1,1,673,30.509571,-97.651045,40,11986021,48,286,0,2020
2,4.86,61,49,655,32.281402,-81.238395,10,1312099,13,291,0,2012
1,4.97,32,29,672,38.768314,-121.267666,4,10140979,48,286,0,2019
2,5.0,6,6,39,34.128872,-117.896469,4,65356,17,301,1,2016
2,4.87,138,111,375,30.329695,-81.653303,9,3375565,10,110,2,2017
2,5.0,23,19,779,37.373287,-122.050495,4,13709948,40,12,0,2017
1,4.9,130,106,694,32.748048,-117.140458,4,888722,48,287,0,2017
2,5.0,4,3,281,38.759038,-76.967864,20,5495663,25,353,2,2015
1,5.0,8,6,654,37.567397,-77.398537,42,8910761,48,286,0,2018
2,4.85,38,34,157,40.053155,-82.980469,33,4709215,13,150,0,2012
2,4.86,95,87,357,30.019478,-95.381222,40,5887443,45,489,0,2011
1,4.8,23,15,157,40.052455,-82.91993,33,4939761,48,286,0,2018
1,4.85,60,55,378,40.720497,-74.039981,30,875927,48,286,0,2019
2,4.85,23,20,490,25.817932,-80.122054,9,3237409,25,353,2,2014
2,4.97,72,62,618,33.449885,-111.988929,3,1135852,17,29,0,2016
2,5.0,10,7,254,38.661777,-121.299859,4,13708903,49,66,0,2019
2,5.0,53,48,488,29.974871,-90.144115,18,3088902,4,3,0,2019
2,5.0,20,15,422,36.052442,-115.281388,32,11139805,36,305,2,2019
2,4.97,34,31,544,33.670992,-117.861932,4,9863897,10,73,0,2019
2,4.95,44,42,586,28.427079,-81.307792,9,7342780,33,363,0,2010
2,4.9,122,109,100,37.593989,-122.363749,4,487015,4,482,0,2011
2,4.86,53,49,580,41.286372,-96.156411,28,1135852,49,478,0,2007
2,4.83,185,156,618,33.449531,-111.987559,3,950349,37,382,0,2013
2,4.97,39,34,715,32.041294,-81.228972,10,4609659,13,291,0,2015
2,4.96,59,54,29,33.927706,-84.342776,10,511103,8,65,0,2016
2,4.97,43,31,68,44.861664,-93.229242,23,1300675,13,132,2,2012
2,4.71,19,14,669,42.26288,-83.333914,22,15158739,49,333,2,2018
2,5.0,29,28,698,37.309217,-121.910272,4,1095222,17,301,1,2019
1,4.97,41,34,443,39.56023,-104.961072,5,10558004,48,288,2,2019
1,5.0,16,15,337,35.987072,-115.148361,32,3106494,48,286,0,2020
2,5.0,2,2,621,28.460459,-81.365593,9,15436077,23,398,2,2015
3,5.0,17,15,32,39.898009,-75.072467,30,1806993,49,314,0,2008
2,5.0,28,25,156,33.99151,-81.021478,38,1097902,25,353,2,2016
2,4.98,128,117,29,33.92741,-84.342783,10,511103,10,73,0,2018
2,5.0,4,4,694,32.917867,-117.128606,4,10607762,30,184,0,2014
2,4.92,13,13,632,41.766121,-93.720548,12,8299164,13,291,0,2014
2,4.89,110,94,651,39.506174,-119.774963,32,3961499,13,154,0,2012
2,5.0,22,22,489,25.750258,-80.199033,9,6277703,8,65,0,2017
3,5.0,5,3,249,33.545897,-82.197674,10,9709583,26,113,0,2015
2,5.0,27,20,698,37.402182,-121.860545,4,5669087,49,333,2,2015
2,5.0,22,13,637,43.646371,-70.309637,21,5699229,13,154,0,2013
2,5.0,23,20,6,35.161964,-106.535441,31,3092621,40,72,0,2007
2,5.0,16,12,712,27.35248,-82.530964,9,11432744,13,160,0,2017
2,4.93,19,15,167,33.640081,-117.932135,4,9683913,4,457,2,2019
2,4.79,209,169,299,33.864201,-118.281184,4,3248814,8,99,0,2017
2,5.0,7,7,483,35.144644,-90.054592,39,2288121,37,32,0,2019
2,5.0,5,4,42,39.280062,-76.597066,20,11198009,4,469,2,2016
2,5.0,29,26,834,26.668983,-80.114314,9,12194762,29,92,0,2013
2,4.93,19,15,35,30.16941,-97.958171,40,4742782,33,283,1,2018
2,5.0,2,2,783,27.961372,-82.513891,9,15721481,49,66,0,2017
2,4.96,26,24,456,42.614261,-71.303669,19,1963763,26,115,0,2010
1,4.8,17,15,840,40.284059,-74.616522,30,5646197,50,112,0,2019
2,4.78,30,27,486,43.629491,-116.355908,13,11453264,23,302,0,2019
3,4.99,111,95,694,32.735824,-117.176477,4,4451252,49,67,0,2007
2,4.87,99,79,617,39.949534,-75.143802,36,2541813,49,95,0,2020
3,5.0,10,7,131,35.14693,-80.827737,27,9113917,13,48,0,2013
2,5.0,36,29,140,32.649354,-117.083491,4,9764111,22,452,2,2017
2,4.93,83,71,682,38.46419,-121.363464,4,9883263,33,52,0,2018
2,4.98,44,41,644,35.759023,-78.725451,27,4603586,8,65,0,2019
2,4.96,33,27,373,34.081237,-117.994742,4,3240182,40,15,0,2012
3,4.77,49,35,452,33.960295,-118.3931,4,6751543,4,274,0,2019
2,4.86,54,44,371,33.680322,-117.837041,4,1186913,17,29,0,2018
2,4.73,55,44,618,33.444022,-111.994546,3,3856661,49,68,0,2007
2,5.0,1,1,158,39.908473,-104.73536,5,10369583,21,463,0,2013
2,5.0,32,26,489,25.697878,-80.402941,9,9854674,25,351,2,2019
2,5.0,8,7,31,47.263249,-122.284889,43,13165859,40,71,2,2014
1,4.92,66,61,422,36.065279,-115.292678,32,8939463,48,287,0,2015
1,5.0,20,20,166,33.848022,-117.589211,4,9192056,48,286,0,2018
2,4.92,201,146,35,30.423899,-97.78437,40,656440,49,95,0,2006
1,5.0,8,8,232,40.5625,-74.383282,30,1491450,48,286,0,2019
2,5.0,21,19,836,38.546577,-121.551735,4,4626909,9,307,1,2017
2,4.78,79,58,617,39.949421,-75.143113,36,2541813,49,333,2,2019
2,5.0,15,13,624,40.449486,-79.85396,36,5141917,33,111,0,2014
2,5.0,2,2,576,35.599431,-97.55191,34,9615959,18,183,0,2020
0,5.0,8,7,694,32.961573,-117.118707,4,14412342,4,468,2,2012
2,5.0,98,90,514,35.874605,-78.78802,27,1715525,50,36,2,2018
2,4.89,21,19,131,35.221749,-80.815497,27,21255,3,322,2,2011
2,5.0,2,1,823,41.627189,-93.854097,12,15646399,14,27,2,2008
2,4.95,131,113,748,37.64099,-122.404496,4,1122675,40,255,2,2015
2,4.7,34,27,131,35.225335,-80.900206,27,11614798,31,253,0,2008
2,5.0,13,12,520,32.786706,-79.861741,38,2774515,33,46,0,2016
2,4.97,189,174,422,36.144717,-115.235084,32,1427288,40,45,0,2016
2,5.0,15,14,543,33.394151,-84.732845,10,13728129,13,291,0,2014
2,4.99,101,95,692,37.619206,-122.417973,4,4351833,8,100,0,2014
2,4.97,41,34,29,33.878716,-84.456566,10,6580855,13,150,0,2015
2,5.0,4,4,778,25.952409,-80.120203,9,864946,26,209,0,2016
2,5.0,2,2,161,33.661941,-84.088375,10,15693009,10,191,1,2016
2,4.75,7,4,799,32.438253,-111.027331,3,11312169,8,140,4,2011
2,5.0,6,6,475,30.409328,-86.760675,9,8042580,10,110,2,2019
2,4.93,50,43,637,45.563885,-122.594,35,8808196,46,304,2,2019
2,4.86,169,132,353,21.295108,-157.846765,11,912177,22,452,2,2010
2,4.87,91,77,489,25.799178,-80.261173,9,637495,13,138,2,2018
2,4.92,89,77,100,37.593801,-122.363612,4,487015,4,262,0,2014
2,5.0,56,55,71,26.361027,-80.135352,9,4020026,13,291,0,2016
2,5.0,3,3,361,34.635667,-86.725193,1,13257404,33,111,0,2011
2,5.0,10,6,694,32.726298,-117.19656,4,5872133,40,12,0,2017
2,5.0,11,7,765,27.821459,-82.703314,9,11456746,20,326,2,2012
2,4.83,7,6,371,33.671942,-117.838162,4,584508,13,138,2,2016
2,5.0,18,14,91,28.532356,-82.228345,9,8008622,40,255,2,2015
2,5.0,8,8,540,40.686319,-74.181409,30,9767693,4,10,0,2019
2,4.94,19,18,637,45.564798,-122.593063,35,8808196,49,387,1,2019
2,4.89,10,9,234,30.495067,-86.550006,9,7494255,4,266,0,2008
2,4.85,223,177,176,32.825995,-96.848441,40,1582843,13,150,0,2016
2,4.9,53,49,490,25.790002,-80.140884,9,1554741,1,186,0,2017
2,4.86,9,7,689,40.806919,-111.94776,41,5558753,13,418,0,2006
1,5.0,20,18,618,33.449529,-111.988635,3,13628009,48,288,2,2016
2,4.82,35,33,821,38.859764,-76.983593,7,3632124,23,399,0,2016
2,5.0,5,2,25,38.857588,-77.106952,42,15641562,8,401,0,2015
2,4.96,64,55,490,25.817311,-80.121301,9,3237409,25,353,2,2014
2,4.92,15,13,618,33.449434,-111.987735,3,950349,0,411,0,2010
2,4.95,202,169,690,29.521068,-98.453947,40,523923,49,66,0,2012
2,4.83,238,172,372,32.858653,-97.035965,40,1582843,36,285,0,2017
2,4.63,129,112,531,36.143758,-86.667644,39,7326774,8,397,0,2013
2,4.89,54,45,167,33.640207,-117.932341,4,9683913,3,332,0,2014
2,4.92,28,24,496,40.479522,-79.96977,36,2946778,4,266,0,2006
2,5.0,44,35,137,41.700592,-87.779583,14,3242882,20,329,2,2015
1,4.0,4,3,540,37.526769,-122.005328,4,8599533,48,288,2,2018
2,4.87,39,31,489,25.795746,-80.285916,9,8871227,26,178,2,2019
3,5.0,33,30,409,28.789546,-81.388067,9,6355405,4,204,0,2019
2,5.0,10,9,637,45.567055,-122.591631,35,14731540,3,321,2,2016
1,5.0,6,5,422,36.129563,-115.157117,32,15524839,48,286,0,2018
3,4.98,57,50,520,32.786478,-79.86187,38,2774515,49,67,0,2017
2,4.93,15,15,15,40.374741,-111.787781,41,4395586,22,452,2,2014
2,5.0,7,6,17,61.102068,-149.875548,0,14766779,41,264,3,2017
2,4.94,58,50,576,35.512276,-97.608378,34,4006959,29,92,0,2011
2,5.0,50,46,25,38.862756,-77.063134,42,11835475,40,45,0,2013
2,4.64,18,14,365,39.239836,-119.94194,32,9552456,50,221,0,2019
2,5.0,6,5,387,39.068224,-94.484397,24,2117894,46,156,2,2014
2,5.0,9,8,17,61.195612,-149.955754,0,3598519,17,54,2,2015
2,4.94,193,159,5,37.778618,-122.288802,4,2192096,49,47,2,2018
1,5.0,20,18,690,29.574502,-98.508501,40,10510979,48,286,0,2019
2,4.73,38,33,357,30.019882,-95.380701,40,5887443,8,103,0,2014
2,4.98,72,59,29,33.927666,-84.34306,10,511103,13,291,0,2019
2,4.51,51,39,29,33.772126,-84.419021,10,7221030,36,284,0,2014
2,5.0,1,1,363,38.955573,-76.939194,20,11138191,33,164,2,2017
1,5.0,23,21,694,33.018273,-117.124666,4,2178704,48,286,0,2019
2,5.0,60,57,483,35.178514,-89.780214,39,546483,4,467,2,2012
1,5.0,1,1,767,39.044704,-77.397782,42,8810919,48,288,2,2018
2,4.96,53,45,406,30.197912,-92.066676,18,1350005,13,150,0,2018
2,4.5,10,10,35,30.210734,-97.667709,40,9859133,37,360,2,2019
1,5.0,35,33,367,39.778781,-86.179257,15,1084544,48,286,0,2018
1,5.0,10,8,243,39.226112,-76.79005,20,10466757,48,287,0,2013
2,4.97,68,58,807,45.709068,-122.607015,43,7313228,37,360,2,2017
2,5.0,17,14,4,41.070013,-81.508974,33,3973373,37,32,0,2013
0,5.0,4,4,650,39.43631,-76.830519,20,1822146,25,354,2,2019
1,5.0,1,1,800,36.071829,-95.962763,34,14541504,48,286,0,2020
2,4.86,58,42,502,44.912738,-93.210829,23,1300675,49,478,0,2012
3,5.0,1,1,140,32.610481,-116.992233,4,1812738,17,79,0,2018
1,5.0,17,14,705,28.812434,-81.266562,9,3955147,52,484,0,2018
2,5.0,11,9,689,40.76035,-111.891244,41,2574865,18,377,2,2019
1,5.0,11,11,700,34.120247,-118.108272,4,7899439,48,287,0,2015
2,4.99,80,76,644,35.852666,-78.717246,27,3140130,10,73,0,2017
2,4.98,100,90,618,33.448713,-111.984325,3,4009047,22,453,2,2018
1,4.99,84,76,422,36.055878,-115.155509,32,7006957,48,286,0,2018
2,5.0,34,31,66,35.220674,-97.675929,34,254030,17,101,0,2012
2,5.0,23,19,156,33.991882,-81.020342,38,11350367,34,46,0,2019
2,5.0,22,21,783,28.0052,-82.558188,9,11592515,49,47,0,2019
2,5.0,10,10,815,21.410314,-158.164627,11,4902834,38,394,0,2016
2,5.0,14,10,452,33.987956,-118.422021,4,2432254,7,474,2,2020
2,5.0,13,12,432,38.008826,-84.430912,17,8101856,22,454,2,2019
1,5.0,1,1,780,26.178833,-80.29214,9,640814,48,287,0,2012
2,4.96,27,24,241,38.387182,-121.437242,4,9459412,33,369,0,2016
2,5.0,5,4,486,43.632426,-116.35062,13,12152885,33,111,0,2017
2,5.0,14,13,799,32.439485,-111.026282,3,11312169,50,421,2,2009
2,4.8,99,71,136,41.974033,-87.716338,14,5147182,49,478,0,2008
2,5.0,2,2,422,36.231961,-115.31805,32,15316077,10,74,0,2019
2,4.97,71,63,378,40.718706,-74.054979,30,2110510,4,468,2,2019
2,4.91,77,69,48,33.944487,-117.020895,4,4903776,8,65,0,2011
2,5.0,1,1,644,35.855005,-78.716458,27,3140130,49,483,0,1986
2,4.96,57,45,79,40.852463,-111.88967,41,10946249,22,452,2,2012
2,4.94,99,81,799,32.144821,-110.963988,3,3860635,18,28,0,2016
2,4.94,74,62,445,41.593623,-88.024313,14,203509,8,397,0,2018
2,4.94,39,36,29,33.667718,-84.419644,10,10413163,33,111,0,2016
1,5.0,11,10,49,45.463406,-122.886046,35,7793541,48,288,2,2020
2,5.0,4,4,98,42.157339,-87.917187,14,9664494,25,228,2,2013
2,5.0,1,1,690,29.513856,-98.537513,40,64265,27,247,0,2016
3,5.0,3,2,722,47.423762,-122.29637,43,5235667,49,314,0,2012
1,4.97,32,30,678,37.362982,-121.982016,4,313105,48,288,2,2017
2,5.0,21,19,754,47.743208,-117.311148,43,10527374,6,125,2,2008
2,5.0,5,4,128,38.875547,-77.422247,42,4442142,23,157,0,2014
2,5.0,3,1,93,39.943229,-105.008165,5,15106788,4,471,2,2019
2,5.0,90,77,86,36.024077,-86.748143,39,3293037,22,453,2,2018
3,4.93,79,70,767,39.004159,-77.40485,42,449378,8,449,0,2017
1,5.0,10,9,694,32.800685,-117.118564,4,11014406,48,287,0,2016
2,4.97,45,39,617,39.948458,-75.144076,36,2541813,50,309,0,2020
1,4.86,107,96,378,40.722439,-74.040807,30,875927,48,286,0,2019
2,4.93,80,74,646,39.379024,-76.791091,20,1446154,8,256,0,2017
2,5.0,6,4,689,40.806653,-111.947767,41,5558753,9,380,0,2006
2,4.93,33,30,319,36.126508,-79.863214,27,9134633,18,396,0,2017
2,5.0,3,3,442,34.68464,-92.238826,2,7443490,7,131,2,2015
2,4.9,99,87,489,25.75117,-80.215526,9,1539115,13,291,0,2018
2,5.0,7,7,159,35.404983,-80.663254,27,2983459,23,302,0,2018
